,BLUEBOOK,TRAVTIME,INCOME,MVR_PTS,AGE,CLM_AMT
6,17430.0,46.0,125301.0,0.0,34.0,2946.0
8,18930.0,21.0,50815.0,2.0,40.0,6477.0
10,16970.0,44.0,107961.0,10.0,37.0,4021.0
11,11200.0,34.0,62978.0,0.0,34.0,2501.0
13,18300.0,15.0,77100.0,0.0,53.0,6077.0
16,28340.0,64.0,130795.0,3.0,53.0,1267.0
18,6000.0,48.0,0.0,3.0,45.0,2920.0
20,15420.0,45.0,87460.0,4.0,59.0,4111.0
24,8710.0,29.0,44077.0,0.0,28.0,6857.0
25,26560.0,52.0,37214.0,3.0,43.0,3627.0
30,11290.0,16.0,37940.0,0.0,60.0,5247.0
32,10030.0,26.0,31275.0,0.0,32.0,4486.0
36,24000.0,27.0,33212.0,5.0,54.0,4901.0
60,12230.0,20.0,16989.0,13.0,40.0,6100.0
64,10520.0,37.0,16352.0,1.0,44.0,8841.0
66,32340.0,50.0,63952.0,0.0,45.0,2117.0
67,14690.0,26.0,22510.0,0.0,34.0,1230.0
69,14220.0,24.0,24060.0,0.0,44.0,3532.0
70,6880.0,46.0,20822.0,0.0,33.0,866.0
72,2920.0,13.0,14194.0,2.0,34.0,7786.0
76,19510.0,29.0,137103.0,0.0,43.0,4148.0
85,1500.0,25.0,102393.0,2.0,45.0,2371.0
86,9170.0,57.0,40656.0,2.0,62.0,4178.0
90,9640.0,14.0,31773.0,4.0,48.0,1354.0
98,13140.0,32.0,38036.0,4.0,53.0,2425.0
108,11740.0,25.0,0.0,2.0,34.0,5711.0
115,15090.0,14.0,0.0,2.0,33.0,7838.0
118,12840.0,50.0,44705.0,0.0,47.0,5125.0
122,14620.0,23.0,31738.0,0.0,64.0,5085.0
126,7900.0,33.0,64014.0,1.0,52.0,2143.0
128,21100.0,31.0,192089.0,0.0,56.0,6484.0
134,20920.0,28.0,53244.0,1.0,26.0,4028.0
136,32690.0,34.0,126468.0,2.0,41.0,2114.0
141,5260.0,36.0,37580.0,0.0,38.0,8671.0
142,7930.0,10.0,23344.0,1.0,41.0,6287.0
146,16640.0,21.0,110386.0,2.0,41.0,3524.0
157,19750.0,52.0,76159.0,0.0,43.0,1807.0
166,13130.0,35.0,49849.0,4.0,43.0,6158.0
167,15760.0,28.0,12054.0,4.0,39.0,4887.0
169,20350.0,40.0,78936.0,0.0,60.0,5147.0
192,7690.0,37.0,33283.0,2.0,26.0,2214.0
195,13160.0,45.0,136344.0,0.0,42.0,6087.0
203,1500.0,12.0,32936.0,0.0,39.0,3894.0
205,16510.0,36.0,0.0,0.0,45.0,2659.0
212,17880.0,24.0,22181.0,5.0,62.0,3705.0
213,9930.0,36.0,84345.0,3.0,53.0,6693.0
220,10020.0,48.0,43174.0,0.0,42.0,4380.0
221,12930.0,41.0,30653.0,0.0,31.0,1826.0
227,24600.0,46.0,111268.0,2.0,45.0,4644.0
237,13850.0,31.0,25289.0,0.0,53.0,4257.0
239,14030.0,58.0,26112.0,0.0,31.0,4277.0
240,7800.0,9.0,30955.0,0.0,32.0,2832.0
254,24130.0,26.0,119382.0,0.0,59.0,2738.0
259,7200.0,5.0,8212.0,0.0,57.0,1146.0
269,21770.0,6.0,61370.0,0.0,39.0,4658.0
272,30260.0,83.0,44782.0,0.0,54.0,5259.0
278,7200.0,44.0,30085.0,3.0,45.0,3769.0
280,10510.0,29.0,46140.0,7.0,44.0,5733.0
282,22450.0,68.0,32317.0,8.0,44.0,4363.0
288,18150.0,40.0,21282.0,3.0,47.0,5523.0
289,7650.0,41.0,61521.0,8.0,64.0,7390.0
290,5300.0,75.0,105554.0,2.0,34.0,1165.0
292,23900.0,30.0,69290.0,1.0,42.0,2362.0
302,11270.0,33.0,61862.0,0.0,53.0,686.0
304,20090.0,63.0,88668.0,1.0,54.0,1065.0
305,10480.0,63.0,2657.0,2.0,50.0,5075.0
315,11750.0,45.0,68090.0,3.0,42.0,2287.0
316,6100.0,34.0,25032.0,5.0,45.0,6195.0
317,23250.0,51.0,52078.0,4.0,54.0,4862.0
322,20630.0,44.0,51544.0,8.0,25.0,9776.0
323,17020.0,5.0,75249.0,1.0,55.0,5546.0
325,22340.0,25.0,73842.0,4.0,29.0,3418.0
326,6000.0,33.0,0.0,3.0,45.0,4423.0
334,29470.0,50.0,109957.0,1.0,41.0,2328.0
339,6350.0,33.0,10486.0,4.0,38.0,4700.0
341,23470.0,26.0,33713.0,0.0,62.0,6880.0
347,5100.0,39.0,20891.0,9.0,36.0,3644.0
349,19340.0,52.0,17493.0,7.0,35.0,4758.0
351,6960.0,55.0,94325.0,2.0,45.0,4875.0
361,11480.0,31.0,60050.0,2.0,32.0,5395.0
366,6780.0,7.0,4478.0,5.0,32.0,2891.0
370,16370.0,5.0,62036.0,7.0,35.0,3149.0
371,11950.0,54.0,40528.0,6.0,64.0,3602.0
374,10210.0,6.0,52950.0,0.0,39.0,2516.0
375,9000.0,56.0,75046.0,6.0,44.0,2449.0
376,5460.0,37.0,39600.0,5.0,40.0,3259.0
384,14240.0,41.0,0.0,1.0,43.0,3085.0
386,8560.0,11.0,0.0,5.0,55.0,3593.0
388,7960.0,14.0,10617.0,2.0,54.0,458.0
390,29220.0,41.0,140766.0,1.0,46.0,6143.0
391,4100.0,10.0,0.0,5.0,26.0,4524.0
392,11510.0,45.0,46224.0,0.0,43.0,4480.0
397,12880.0,34.0,34210.0,0.0,42.0,5619.0
398,25420.0,41.0,31177.0,1.0,46.0,1766.0
411,15820.0,27.0,65702.0,3.0,51.0,2262.0
415,18850.0,13.0,99959.0,1.0,41.0,1237.0
416,15150.0,32.0,61790.0,0.0,37.0,2876.0
418,1500.0,18.0,0.0,3.0,37.0,1650.0
421,11840.0,20.0,64766.0,1.0,42.0,1796.0
424,11440.0,20.0,62426.0,0.0,37.0,4057.0
425,22720.0,38.0,40095.0,6.0,25.0,5177.0
428,7420.0,30.0,52423.0,2.0,40.0,5287.0
429,19500.0,37.0,76985.0,4.0,32.0,1444.0
434,21840.0,30.0,62215.0,3.0,54.0,3008.0
436,6400.0,63.0,37356.0,7.0,49.0,3943.0
438,8530.0,45.0,28341.0,7.0,42.0,2316.0
439,22260.0,27.0,6217.0,0.0,37.0,5363.0
441,14060.0,57.0,52275.0,3.0,48.0,5051.0
442,9360.0,67.0,40022.0,0.0,21.0,6245.0
448,16250.0,46.0,57063.0,0.0,40.0,2872.0
449,16870.0,29.0,39707.0,6.0,58.0,6101.0
461,4700.0,21.0,52469.0,1.0,32.0,1347.0
463,24410.0,42.0,106409.0,0.0,46.0,4579.0
465,11770.0,16.0,52064.0,8.0,63.0,6228.0
468,18960.0,32.0,27625.0,8.0,72.0,4997.0
474,26280.0,37.0,28326.0,2.0,36.0,8662.0
486,14360.0,19.0,26921.0,2.0,63.0,5952.0
487,7390.0,47.0,13891.0,4.0,45.0,5252.0
488,21820.0,37.0,64488.0,5.0,35.0,5440.0
493,9130.0,25.0,31675.0,6.0,33.0,7719.0
495,5560.0,35.0,66367.0,3.0,39.0,8289.0
499,14250.0,52.0,29524.0,1.0,56.0,2353.0
504,19530.0,28.0,86227.0,2.0,41.0,2289.0
519,10610.0,25.0,34116.0,1.0,57.0,5457.0
521,17470.0,21.0,94591.0,3.0,42.0,3428.0
531,10590.0,30.0,249.0,1.0,33.0,4898.0
532,7790.0,26.0,24862.0,2.0,41.0,4046.0
534,6500.0,12.0,0.0,0.0,50.0,2812.0
541,11940.0,57.0,25761.0,8.0,57.0,3782.0
542,27460.0,29.0,49224.0,0.0,42.0,3443.0
550,11880.0,24.0,40760.0,0.0,51.0,2058.0
551,20180.0,22.0,68493.0,0.0,27.0,1958.0
556,14660.0,24.0,69794.0,3.0,27.0,4313.0
557,4050.0,29.0,25544.0,0.0,33.0,1736.0
558,20170.0,32.0,85408.0,0.0,42.0,4257.0
559,16600.0,27.0,3865.0,0.0,55.0,3492.0
560,6500.0,8.0,94589.0,2.0,50.0,1413.0
567,28960.0,39.0,50537.0,2.0,40.0,1036.0
568,8030.0,5.0,65298.0,5.0,54.0,3722.0
573,9210.0,22.0,50139.0,3.0,27.0,1842.0
575,25250.0,52.0,92543.0,4.0,47.0,8798.0
583,11250.0,44.0,53895.0,0.0,37.0,5636.0
585,5800.0,56.0,60973.0,1.0,43.0,3414.0
587,21660.0,13.0,85731.0,1.0,36.0,7161.0
591,23280.0,36.0,14166.0,3.0,42.0,5717.0
595,7740.0,48.0,0.0,7.0,31.0,4306.0
597,5100.0,28.0,0.0,1.0,36.0,1813.0
604,9240.0,29.0,0.0,5.0,57.0,2463.0
605,1500.0,31.0,91221.0,2.0,47.0,465.0
607,22620.0,21.0,146338.0,3.0,44.0,5016.0
614,10920.0,27.0,47235.0,2.0,47.0,3354.0
618,7030.0,27.0,7302.0,3.0,48.0,5911.0
621,5100.0,34.0,79457.0,1.0,36.0,1368.0
622,14000.0,23.0,37991.0,2.0,58.0,3998.0
632,21740.0,15.0,133335.0,6.0,37.0,3854.0
633,7200.0,42.0,3272.0,2.0,58.0,3231.0
635,17680.0,41.0,58833.0,2.0,38.0,4611.0
644,9100.0,41.0,63890.0,0.0,72.0,917.0
647,23600.0,23.0,5253.0,0.0,40.0,9162.0
655,9270.0,27.0,200772.0,0.0,57.0,4846.0
657,5430.0,5.0,108744.0,0.0,53.0,6409.0
660,34640.0,48.0,48374.0,0.0,44.0,3844.0
671,19300.0,61.0,48587.0,3.0,53.0,5951.0
685,5100.0,20.0,204373.0,0.0,36.0,2705.0
689,10940.0,28.0,39405.0,1.0,55.0,4423.0
691,33330.0,40.0,155410.0,4.0,59.0,5363.0
693,16620.0,7.0,57933.0,0.0,46.0,9893.0
695,3900.0,34.0,94566.0,2.0,24.0,5495.0
697,10450.0,18.0,26875.0,8.0,48.0,4194.0
698,25910.0,34.0,99269.0,1.0,42.0,5061.0
707,8150.0,20.0,18483.0,3.0,21.0,3038.0
708,12360.0,14.0,58628.0,0.0,50.0,1030.0
716,8840.0,61.0,8213.0,6.0,59.0,5109.0
719,4500.0,33.0,75891.0,1.0,30.0,2424.0
729,14170.0,38.0,22938.0,0.0,38.0,5862.0
736,6380.0,44.0,16118.0,4.0,32.0,3960.0
743,18870.0,23.0,50331.0,7.0,41.0,1226.0
746,8830.0,5.0,14822.0,9.0,26.0,3435.0
756,6650.0,42.0,51513.0,4.0,51.0,2838.0
757,2680.0,62.0,0.0,0.0,36.0,4402.0
761,15810.0,52.0,55742.0,2.0,54.0,5722.0
763,15040.0,39.0,81438.0,0.0,54.0,6220.0
766,10520.0,47.0,69282.0,0.0,58.0,3879.0
767,6480.0,42.0,36230.0,1.0,42.0,2962.0
774,8130.0,30.0,42667.0,3.0,32.0,4405.0
777,12870.0,37.0,71686.0,2.0,42.0,5378.0
784,22680.0,33.0,69641.0,2.0,33.0,2044.0
791,4500.0,27.0,13410.0,2.0,28.0,835.0
793,5600.0,25.0,200928.0,2.0,42.0,2931.0
796,5850.0,5.0,13490.0,1.0,30.0,4578.0
798,14010.0,24.0,92060.0,0.0,33.0,2982.0
817,22470.0,24.0,27281.0,1.0,57.0,6331.0
821,9160.0,20.0,87719.0,2.0,50.0,9270.0
823,8730.0,46.0,32265.0,7.0,40.0,5040.0
832,12160.0,48.0,44320.0,7.0,56.0,4539.0
835,8050.0,30.0,7452.0,0.0,58.0,2011.0
837,5730.0,37.0,73694.0,0.0,42.0,2408.0
839,10480.0,5.0,44786.0,2.0,45.0,2697.0
840,23880.0,36.0,182782.0,5.0,41.0,2233.0
841,7100.0,28.0,56014.0,0.0,39.0,6098.0
845,10320.0,47.0,94675.0,3.0,28.0,4214.0
852,9180.0,36.0,0.0,8.0,57.0,5835.0
853,24010.0,30.0,96613.0,3.0,40.0,1418.0
861,6800.0,54.0,27045.0,4.0,53.0,2439.0
862,37310.0,42.0,75984.0,1.0,48.0,1062.0
867,25280.0,19.0,57890.0,2.0,38.0,3338.0
870,8540.0,30.0,26377.0,3.0,44.0,4312.0
872,2190.0,38.0,6862.0,4.0,24.0,2569.0
901,17600.0,25.0,116018.0,2.0,45.0,4011.0
909,8300.0,43.0,28916.0,4.0,42.0,8809.0
912,7240.0,38.0,23439.0,1.0,34.0,7551.0
917,27520.0,23.0,105563.0,0.0,41.0,3771.0
923,6500.0,37.0,0.0,0.0,50.0,2668.0
924,14070.0,25.0,23921.0,2.0,43.0,4488.0
925,16090.0,29.0,112943.0,0.0,33.0,6868.0
926,20010.0,48.0,36365.0,3.0,45.0,5811.0
927,13840.0,34.0,35990.0,3.0,36.0,890.0
932,20870.0,40.0,99325.0,3.0,35.0,6755.0
941,36390.0,38.0,215536.0,1.0,43.0,5455.0
942,36690.0,42.0,180783.0,1.0,50.0,6849.0
948,14980.0,34.0,71263.0,0.0,38.0,1909.0
950,29960.0,15.0,109631.0,0.0,36.0,7443.0
952,5370.0,50.0,8746.0,6.0,35.0,962.0
958,6400.0,52.0,0.0,5.0,49.0,4439.0
962,12520.0,61.0,74385.0,7.0,55.0,2203.0
974,13890.0,45.0,37958.0,0.0,40.0,2303.0
976,4800.0,49.0,13812.0,0.0,33.0,5181.0
986,5600.0,50.0,18939.0,1.0,41.0,2553.0
990,10120.0,28.0,0.0,1.0,32.0,2398.0
993,6300.0,29.0,30377.0,0.0,48.0,5600.0
1002,26520.0,43.0,106722.0,0.0,30.0,3282.0
1003,26710.0,43.0,12284.0,0.0,43.0,3337.0
1012,25750.0,51.0,44661.0,3.0,42.0,3753.0
1014,6520.0,53.0,27239.0,5.0,23.0,2804.0
1024,22150.0,26.0,42891.0,0.0,42.0,2088.0
1025,12410.0,42.0,66101.0,0.0,43.0,2479.0
1029,17370.0,40.0,28726.0,0.0,26.0,4544.0
1030,12770.0,24.0,112687.0,0.0,30.0,9863.0
1032,1500.0,12.0,50726.0,0.0,52.0,3971.0
1039,13450.0,51.0,63535.0,1.0,56.0,2160.0
1044,20590.0,40.0,216985.0,5.0,57.0,1645.0
1051,30580.0,49.0,103555.0,0.0,58.0,6418.0
1055,5540.0,24.0,40408.0,1.0,48.0,4456.0
1064,12860.0,28.0,35053.0,1.0,31.0,3920.0
1067,11750.0,30.0,0.0,3.0,51.0,4025.0
1071,6200.0,36.0,68602.0,2.0,47.0,5103.0
1086,6720.0,16.0,0.0,0.0,51.0,7836.0
1089,10750.0,9.0,52475.0,3.0,40.0,6879.0
1091,11810.0,41.0,103109.0,0.0,62.0,3288.0
1095,14500.0,35.0,0.0,6.0,45.0,3521.0
1101,2330.0,13.0,8276.0,4.0,35.0,4021.0
1117,9480.0,29.0,58453.0,1.0,42.0,2327.0
1123,4500.0,21.0,0.0,0.0,30.0,3755.0
1133,18130.0,13.0,68171.0,2.0,42.0,4348.0
1137,5000.0,21.0,0.0,0.0,35.0,5297.0
1140,6720.0,12.0,0.0,5.0,29.0,4699.0
1141,8850.0,27.0,24513.0,1.0,49.0,6606.0
1144,23630.0,35.0,0.0,2.0,56.0,4799.0
1156,8620.0,38.0,32188.0,4.0,39.0,3349.0
1161,10440.0,37.0,49120.0,0.0,42.0,3244.0
1162,22690.0,61.0,59197.0,3.0,45.0,3581.0
1166,14610.0,40.0,92117.0,0.0,39.0,2441.0
1174,8700.0,30.0,55242.0,0.0,37.0,6250.0
1177,20990.0,58.0,80023.0,5.0,53.0,3408.0
1184,9910.0,46.0,28088.0,3.0,56.0,4814.0
1191,5850.0,13.0,10032.0,0.0,28.0,5657.0
1192,21160.0,40.0,49978.0,2.0,40.0,4191.0
1196,21880.0,32.0,109210.0,6.0,59.0,4815.0
1197,15080.0,43.0,38141.0,5.0,59.0,5501.0
1199,8590.0,31.0,9902.0,4.0,61.0,3048.0
1201,8930.0,11.0,45299.0,4.0,29.0,1502.0
1203,11230.0,9.0,49251.0,0.0,48.0,6452.0
1205,4340.0,52.0,28430.0,4.0,32.0,2777.0
1207,8510.0,30.0,31131.0,5.0,39.0,4678.0
1210,23740.0,27.0,98918.0,1.0,35.0,4621.0
1212,9170.0,25.0,26748.0,1.0,50.0,3843.0
1213,5330.0,24.0,38307.0,10.0,34.0,3730.0
1214,15670.0,34.0,88632.0,2.0,46.0,4034.0
1215,10970.0,42.0,45689.0,0.0,49.0,1133.0
1224,10320.0,22.0,146202.0,0.0,58.0,2891.0
1229,17960.0,29.0,46781.0,5.0,44.0,3411.0
1230,10600.0,37.0,0.0,1.0,54.0,4209.0
1238,14580.0,48.0,101767.0,1.0,29.0,6027.0
1245,3230.0,49.0,61265.0,2.0,58.0,3295.0
1249,23450.0,65.0,28395.0,2.0,33.0,3668.0
1252,11800.0,32.0,22860.0,1.0,45.0,4895.0
1256,5400.0,18.0,69464.0,4.0,39.0,1029.0
1261,7760.0,47.0,20586.0,0.0,42.0,5142.0
1269,34260.0,5.0,53660.0,4.0,44.0,648.0
1280,18930.0,50.0,28830.0,5.0,39.0,4754.0
1284,5080.0,26.0,11666.0,4.0,23.0,540.0
1296,1500.0,15.0,48317.0,1.0,31.0,4123.0
1299,5260.0,56.0,0.0,0.0,40.0,4809.0
1302,14160.0,40.0,71101.0,6.0,58.0,4610.0
1304,18990.0,40.0,46624.0,0.0,54.0,3850.0
1309,37180.0,37.0,95502.0,0.0,37.0,1166.0
1312,1500.0,39.0,54310.0,5.0,29.0,5520.0
1313,11160.0,38.0,81246.0,0.0,51.0,7463.0
1316,7650.0,52.0,63027.0,0.0,54.0,3897.0
1318,9960.0,36.0,4319.0,3.0,37.0,4155.0
1321,18810.0,32.0,24628.0,3.0,39.0,6653.0
1324,13150.0,26.0,22348.0,0.0,39.0,4209.0
1329,4790.0,23.0,6657.0,4.0,58.0,3626.0
1330,19700.0,31.0,72167.0,7.0,35.0,3332.0
1334,9150.0,44.0,73655.0,5.0,26.0,3760.0
1340,20750.0,41.0,58833.0,6.0,38.0,2856.0
1344,11700.0,22.0,10678.0,8.0,30.0,3242.0
1346,1500.0,38.0,13003.0,4.0,24.0,1397.0
1348,19810.0,15.0,145073.0,0.0,38.0,7692.0
1350,14790.0,30.0,21400.0,5.0,32.0,4007.0
1351,22010.0,38.0,4344.0,5.0,40.0,2193.0
1354,3800.0,46.0,5442.0,6.0,22.0,1749.0
1355,10650.0,53.0,53532.0,4.0,38.0,4617.0
1358,7910.0,5.0,37130.0,1.0,27.0,4021.0
1368,16880.0,29.0,55138.0,0.0,41.0,3762.0
1371,26900.0,26.0,114830.0,0.0,57.0,5951.0
1374,8000.0,24.0,0.0,0.0,65.0,1758.0
1378,12970.0,24.0,57607.0,5.0,47.0,4289.0
1380,13700.0,63.0,31052.0,2.0,34.0,5884.0
1382,19990.0,35.0,65979.0,0.0,51.0,1669.0
1387,5100.0,54.0,39400.0,0.0,36.0,2034.0
1388,7070.0,26.0,0.0,1.0,37.0,2753.0
1391,23060.0,23.0,0.0,0.0,47.0,4868.0
1392,7200.0,23.0,41645.0,0.0,57.0,4389.0
1395,21620.0,38.0,102604.0,2.0,37.0,4451.0
1397,11340.0,14.0,22481.0,0.0,65.0,4699.0
1401,6700.0,34.0,64531.0,2.0,52.0,4419.0
1404,6700.0,56.0,81849.0,6.0,52.0,5497.0
1405,14130.0,64.0,89343.0,0.0,37.0,3643.0
1414,23040.0,51.0,59972.0,3.0,34.0,931.0
1419,22310.0,47.0,12339.0,5.0,40.0,7406.0
1425,5850.0,17.0,0.0,6.0,38.0,3333.0
1427,16200.0,29.0,26413.0,1.0,29.0,8484.0
1429,11100.0,69.0,34033.0,7.0,62.0,8162.0
1430,7500.0,32.0,22036.0,2.0,38.0,5629.0
1433,6640.0,50.0,23427.0,6.0,28.0,4026.0
1440,11630.0,53.0,0.0,6.0,35.0,4027.0
1453,7810.0,34.0,0.0,5.0,33.0,3440.0
1461,7160.0,34.0,16575.0,2.0,40.0,6111.0
1466,32270.0,50.0,67263.0,0.0,45.0,1335.0
1483,6700.0,51.0,77351.0,6.0,52.0,1070.0
1485,9400.0,27.0,18523.0,2.0,41.0,4277.0
1487,19830.0,40.0,52485.0,3.0,49.0,6431.0
1490,17760.0,32.0,65651.0,0.0,31.0,7035.0
1491,5700.0,13.0,0.0,5.0,42.0,5110.0
1494,10650.0,50.0,81524.0,0.0,54.0,5485.0
1496,5800.0,44.0,0.0,3.0,43.0,1438.0
1498,9480.0,38.0,46780.0,5.0,33.0,9623.0
1499,5390.0,49.0,38924.0,1.0,56.0,2505.0
1504,14850.0,29.0,65779.0,4.0,43.0,4415.0
1505,12370.0,26.0,0.0,1.0,36.0,6673.0
1508,9470.0,45.0,13349.0,3.0,43.0,6761.0
1512,9600.0,49.0,43036.0,0.0,38.0,4368.0
1517,12380.0,25.0,0.0,0.0,53.0,3084.0
1526,7770.0,27.0,0.0,6.0,43.0,1043.0
1528,17710.0,72.0,2970.0,5.0,40.0,5900.0
1529,19030.0,26.0,41801.0,6.0,61.0,3343.0
1532,17850.0,5.0,20220.0,9.0,24.0,5017.0
1534,14350.0,43.0,28390.0,2.0,61.0,1793.0
1538,21340.0,26.0,0.0,1.0,40.0,9470.0
1544,15640.0,37.0,57417.0,0.0,28.0,5802.0
1547,17760.0,33.0,45368.0,0.0,67.0,2464.0
1549,8330.0,14.0,8250.0,2.0,60.0,6057.0
1553,13520.0,63.0,0.0,2.0,22.0,5637.0
1556,9360.0,42.0,39619.0,3.0,39.0,1482.0
1562,12460.0,47.0,44431.0,1.0,40.0,3254.0
1576,8390.0,23.0,20926.0,0.0,36.0,6086.0
1585,18610.0,54.0,58008.0,0.0,42.0,4197.0
1588,28170.0,57.0,65775.0,4.0,61.0,5372.0
1591,11690.0,29.0,53878.0,7.0,48.0,5132.0
1592,8980.0,26.0,82068.0,0.0,44.0,664.0
1600,12030.0,32.0,70274.0,0.0,35.0,6686.0
1601,12180.0,24.0,21119.0,4.0,38.0,3931.0
1608,5730.0,21.0,2289.0,2.0,40.0,2593.0
1614,7000.0,25.0,123288.0,1.0,58.0,1442.0
1616,15870.0,34.0,76847.0,2.0,34.0,2908.0
1617,1500.0,56.0,31456.0,3.0,47.0,2967.0
1628,15330.0,38.0,25871.0,6.0,47.0,1026.0
1634,11270.0,49.0,27039.0,5.0,44.0,1342.0
1636,24730.0,50.0,110873.0,0.0,36.0,5967.0
1647,9830.0,38.0,31138.0,5.0,39.0,4344.0
1649,6920.0,53.0,13337.0,0.0,38.0,5292.0
1652,11290.0,32.0,75165.0,1.0,35.0,4943.0
1656,31390.0,44.0,118971.0,0.0,36.0,5295.0
1664,6900.0,28.0,0.0,4.0,54.0,7940.0
1669,15320.0,39.0,44940.0,2.0,56.0,1914.0
1671,5700.0,45.0,85819.0,1.0,42.0,1107.0
1672,22550.0,14.0,5367.0,10.0,23.0,2161.0
1673,5800.0,50.0,10518.0,1.0,28.0,2820.0
1676,9750.0,42.0,0.0,2.0,28.0,909.0
1683,33220.0,35.0,51060.0,2.0,57.0,5084.0
1689,20950.0,29.0,43083.0,9.0,27.0,9824.0
1690,11740.0,70.0,109732.0,3.0,37.0,4716.0
1692,6500.0,14.0,41447.0,0.0,50.0,4805.0
1697,24950.0,36.0,55230.0,7.0,50.0,6535.0
1698,19190.0,62.0,129926.0,2.0,47.0,2840.0
1702,5100.0,45.0,26587.0,5.0,36.0,464.0
1703,12510.0,47.0,79957.0,0.0,34.0,1842.0
1712,14160.0,26.0,17028.0,0.0,38.0,5905.0
1713,21720.0,45.0,44108.0,2.0,57.0,3609.0
1719,6610.0,30.0,63433.0,1.0,39.0,2729.0
1724,14580.0,87.0,71309.0,3.0,39.0,1357.0
1729,14840.0,39.0,0.0,1.0,42.0,6836.0
1730,1530.0,58.0,278.0,5.0,56.0,5138.0
1731,9750.0,15.0,50522.0,6.0,32.0,2474.0
